Date,Open,High,Low,Close,Volume
2026-09-09,8095.2,8282.03,7996.16,8148.54,1003931
2026-09-16,8262.17,8387.24,8141.57,8261.32,1178376
2026-09-23,8046.79,8186.81,8034.23,8068.86,1629854
2026-09-30,7901.1,7994.93,7806.06,7961.78,2095160
2026-10-07,7861.94,7958.92,7825.13,7912.53,2750085
2026-10-14,7946.57,7964.25,7828.73,7926.13,4795090
2026-10-21,8159.35,8212.77,8087.67,8210.31,2795176
2026-10-28,8300.3,8374.12,8220.88,8328.53,2582154
2026-11-04,7974.76,8105.44,7930.78,8029.29,1064191
2026-11-11,8136.97,8191.87,8079.41,8100.29,2628515
2026-11-18,8040.66,8117.04,7965.05,8075.16,2660937
2026-11-25,8047.34,8085.88,7955.59,7995.58,2474446
2026-12-02,7718.17,7885.72,7719.78,7761.89,3569663
2026-12-09,7993.76,8215.85,7944.07,8070.16,2220903
2026-12-16,7961.62,8128.12,7835.52,7994.98,3207750
2026-12-23,8305.79,8508.06,8293.03,8358.15,3770169
2026-12-30,8083.21,8166.28,7991.28,8056.52,2573258
2027-01-06,8078.98,8138.97,8054.2,8095.72,1267395
2027-01-13,8187.34,8283.93,7999.03,8124.0,1339365
2027-01-20,8116.16,8177.61,8049.45,8171.32,3634633
2027-01-27,8033.41,8095.61,7957.26,8001.97,1805383
2027-02-03,8067.76,8112.99,7972.19,8053.9,3818852
2027-02-10,7915.71,8068.9,7886.37,7984.0,3261254
2027-02-17,7707.11,7746.54,7645.04,7706.62,2712054
2027-02-24,7560.86,7676.46,7463.55,7547.72,4841188
2027-03-03,7484.56,7473.36,7315.92,7416.06,1109458
2027-03-10,7676.31,7841.62,7694.96,7740.52,4519588
2027-03-17,7729.41,7822.98,7570.08,7680.29,2142217
2027-03-24,7761.97,7864.48,7644.2,7740.42,1514709
2027-03-31,7793.09,7865.09,7691.96,7717.27,3828494
2027-04-07,7948.49,8049.71,7847.75,7893.05,3816099
2027-04-14,8140.2,8285.43,8097.91,8179.84,1038783
2027-04-21,8026.33,8132.26,7986.8,8006.04,3880480
2027-04-28,7864.91,7972.31,7751.63,7863.78,1908052
2027-05-05,7574.67,7612.41,7527.87,7588.38,3182480
2027-05-12,7490.09,7517.05,7466.59,7489.67,3625090
2027-05-19,7509.16,7520.87,7449.57,7458.57,2075913
2027-05-26,7059.92,7197.34,7062.73,7066.99,3841723
2027-06-02,6846.47,6911.94,6737.22,6830.35,1642735
2027-06-09,7094.43,7166.6,6999.92,7092.7,2751270
2027-06-16,7029.22,7164.77,7035.78,7080.47,3272031
2027-06-23,7029.15,7062.51,6932.38,6983.54,3136505
2027-06-30,6811.36,6896.52,6796.39,6809.83,2868050
2027-07-07,7039.21,7052.39,6873.81,7000.85,2693295
2027-07-14,6859.41,6831.54,6711.41,6827.55,2098570
2027-07-21,6901.68,6996.91,6866.81,6970.59,3608227
2027-07-28,6875.74,7010.92,6771.6,6909.2,2307563
2027-08-04,6886.83,7090.63,6944.15,6953.77,1592772
2027-08-11,7067.1,7088.37,6962.22,7023.73,1960264
2027-08-18,6634.64,6701.31,6488.46,6608.35,2194683
2027-08-25,6580.19,6622.64,6541.14,6619.05,3283829
2027-09-01,6543.38,6546.98,6425.74,6510.29,2835521
2027-09-08,6673.54,6810.26,6615.8,6732.33,3493026
2027-09-15,6744.9,6765.76,6624.28,6682.28,4606981
2027-09-22,7012.27,7149.81,6889.71,7014.66,4357113
2027-09-29,7002.71,7015.37,6871.45,6953.1,1482420
2027-10-06,7120.33,7145.35,7036.47,7121.02,1100484
2027-10-13,7123.51,7243.21,7043.68,7150.37,1073399
2027-10-20,7035.56,7179.54,6972.73,7096.61,2381460
2027-10-27,7489.62,7568.93,7422.5,7431.85,4349281
2027-11-03,7190.93,7286.26,7059.78,7200.28,1801999
2027-11-10,7429.63,7514.33,7315.63,7429.87,1654404
2027-11-17,7393.74,7575.92,7328.26,7447.87,2215933
2027-11-24,7300.8,7311.42,7166.92,7236.24,2491812
2027-12-01,7240.78,7314.28,7127.57,7253.44,4202843
2027-12-08,7073.46,7195.71,7030.12,7060.61,1102476
2027-12-15,7128.77,7084.78,7006.79,7073.14,4883138
2027-12-22,7254.12,7311.83,7163.12,7247.16,4979814
2027-12-29,6879.43,7041.53,6835.41,6936.57,1228705
